feature,importance_mean,importance_std
tt_injection_n,0.1659447929315192,0.01675916885910185
diastolic_bp,0.13747260352430857,0.014125902389174631
vdrl_positive,0.1025737971746729,0.011720113566566983
systolic_bp,0.051270444840446114,0.009402794489392423
hrsag_positive,0.03818899533059244,0.008377578747853026
weight_kg,0.03540415928802126,0.008939751881490552
urine_sugar_yes,0.010943572530107188,0.003304958956551721
age,0.0018585790318492723,0.001858579031849272
gravida_n,0.0,0.0
pregnancy_weeks,0.0,0.0
height_cm,0.0,0.0
fetal_heartbeat_bpm,0.0,0.0
bmi_calc,0.0,0.0
