threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,split
0.1,0.9435382685069009,0.924956369982548,0.9962406015037594,0.9592760180995475,0.9937650730600085,222,43,2,530,train_oof
0.15,0.9523212045169385,0.9363957597173145,0.9962406015037594,0.9653916211293261,0.9937650730600085,229,36,2,530,train_oof
0.2,0.9598494353826851,0.9496402877697842,0.9924812030075187,0.9705882352941176,0.9937650730600085,237,28,4,528,train_oof
0.25,0.9636135508155583,0.9547920433996383,0.9924812030075187,0.9732718894009217,0.9937650730600085,240,25,4,528,train_oof
0.3,0.9648682559598495,0.9581818181818181,0.9906015037593985,0.9741219963031423,0.9937650730600085,242,23,5,527,train_oof
0.35,0.9711417816813049,0.9686924493554327,0.9887218045112782,0.9786046511627907,0.9937650730600085,248,17,6,526,train_oof
0.4,0.973651191969887,0.9722735674676525,0.9887218045112782,0.9804287045666356,0.9937650730600085,250,15,6,526,train_oof
0.45,0.973651191969887,0.974025974025974,0.9868421052631579,0.9803921568627451,0.9937650730600085,251,14,7,525,train_oof
0.5,0.973651191969887,0.9757914338919925,0.9849624060150376,0.980355472404116,0.9937650730600085,252,13,8,524,train_oof
0.55,0.9749058971141782,0.981203007518797,0.981203007518797,0.981203007518797,0.9937650730600085,255,10,10,522,train_oof
0.6,0.973651191969887,0.9829867674858223,0.9774436090225563,0.9802073515551367,0.9937650730600085,256,9,12,520,train_oof
0.65,0.972396486825596,0.9847908745247148,0.9736842105263158,0.9792060491493384,0.9937650730600085,257,8,14,518,train_oof
0.7,0.973651191969887,0.988527724665392,0.9718045112781954,0.9800947867298578,0.9937650730600085,259,6,15,517,train_oof
0.75,0.972396486825596,0.9885057471264368,0.9699248120300752,0.9791271347248577,0.9937650730600085,259,6,16,516,train_oof
0.8,0.9698870765370138,0.9903474903474904,0.9642857142857143,0.9771428571428571,0.9937650730600085,260,5,19,513,train_oof
0.85,0.9623588456712673,0.9921568627450981,0.9511278195488722,0.9712092130518234,0.9937650730600085,261,4,26,506,train_oof
0.9,0.9473023839397742,0.9939516129032258,0.9266917293233082,0.9591439688715954,0.9937650730600085,262,3,39,493,train_oof
0.1,0.94,0.9230769230769231,0.9924812030075187,0.9565217391304348,0.988441252384693,56,11,1,132,holdout_test
0.15,0.97,0.9635036496350365,0.9924812030075187,0.9777777777777777,0.988441252384693,62,5,1,132,holdout_test
0.2,0.975,0.9705882352941176,0.9924812030075187,0.9814126394052045,0.988441252384693,63,4,1,132,holdout_test
0.25,0.975,0.9705882352941176,0.9924812030075187,0.9814126394052045,0.988441252384693,63,4,1,132,holdout_test
0.3,0.98,0.9777777777777777,0.9924812030075187,0.9850746268656716,0.988441252384693,64,3,1,132,holdout_test
0.35,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.4,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.45,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.5,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.55,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.6,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.65,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.7,0.99,0.9924812030075187,0.9924812030075187,0.9924812030075187,0.988441252384693,66,1,1,132,holdout_test
0.75,0.985,0.9924242424242424,0.9849624060150376,0.9886792452830189,0.988441252384693,66,1,2,131,holdout_test
0.8,0.98,0.9923664122137404,0.9774436090225563,0.9848484848484849,0.988441252384693,66,1,3,130,holdout_test
0.85,0.97,0.9922480620155039,0.9624060150375939,0.9770992366412213,0.988441252384693,66,1,5,128,holdout_test
0.9,0.96,0.9921259842519685,0.9473684210526315,0.9692307692307692,0.988441252384693,66,1,7,126,holdout_test
